Vertical,Revenue_Pct
BFSI,31.9
Consumer Business,15.4
Life Sciences & Healthcare,10.5
Manufacturing,8.8
Technology & Services,8.4
Energy Resources & Utilities,6.0
Communication & Media,5.9
Regional Markets & Others,13.1
