Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return_Pct,MA_20,MA_50,Ticker
1996-01-01,0.79492,0.79668,0.79102,0.79668,-0.000436,204800.0,,,,INFY
1996-01-02,0.79492,0.79883,0.79346,0.79346,-0.000435,204800.0,-0.40417733594416694,,,INFY
1996-01-03,0.79883,0.79883,0.79883,0.79883,-0.000437,102400.0,0.6767826985607295,,,INFY
1996-01-04,0.79102,0.79492,0.79102,0.79355,-0.000435,307200.0,-0.6609666637457323,,,INFY
1996-01-05,0.78418,0.78418,0.78418,0.78418,-0.000429,51200.0,-1.1807699577846331,,,INFY
1996-01-08,0.78418,0.79102,0.78516,0.78906,-0.000432,358400.0,0.6223061031905841,,,INFY
1996-01-09,0.78906,0.78125,0.77148,0.78027,-0.000427,870400.0,-1.113983727473189,,,INFY
1996-01-10,0.78027,0.77539,0.77148,0.77344,-0.000424,358400.0,-0.8753380240173247,,,INFY
1996-01-11,0.7793,0.79102,0.77344,0.79102,-0.000433,819200.0,2.2729623500206797,,,INFY
1996-01-12,0.78711,0.78711,0.78125,0.78662,-0.000431,358400.0,-0.5562438370711131,,,INFY
1996-01-15,0.77637,0.78516,0.77637,0.77783,-0.000426,307200.0,-1.1174391701202602,,,INFY
1996-01-16,0.77783,0.78125,0.71289,0.78125,-0.000428,358400.0,0.43968476402298506,,,INFY
1996-01-17,0.78125,0.7832,0.77148,0.77383,-0.000424,768000.0,-0.9497599999999995,,,INFY
1996-01-18,0.77383,0.77637,0.76953,0.77637,-0.000425,204800.0,0.3282374681777611,,,INFY
1996-01-19,0.77148,0.77148,0.76807,0.76855,-0.000421,512000.0,-1.0072516970001444,,,INFY
1996-01-22,0.77148,0.77637,0.77148,0.77637,-0.000425,204800.0,1.0175004879318328,,,INFY
1996-01-23,0.76758,0.78125,0.76758,0.77393,-0.000424,665600.0,-0.31428313819441556,,,INFY
1996-01-24,0.77393,0.77051,0.75293,0.77051,-0.000422,409600.0,-0.4419004302714691,,,INFY
1996-01-25,0.771,0.771,0.76758,0.76758,-0.00042,102400.0,-0.3802676149563311,,,INFY
1996-01-26,,,,,,,,,,INFY
1996-01-29,0.76563,0.76563,0.76318,0.76318,-0.000418,102400.0,,,,INFY
1996-01-30,0.76318,0.77539,0.77148,0.77246,-0.000423,1433600.0,1.2159647789512285,,,INFY
1996-01-31,0.77246,0.78125,0.76758,0.78125,-0.000428,460800.0,1.1379229992491524,,,INFY
1996-02-01,0.78125,0.81055,0.78125,0.81055,-0.000444,819200.0,3.750399999999998,,,INFY
1996-02-02,0.81055,0.83984,0.81055,0.83975,-0.00046,2355200.0,3.602492134970081,,,INFY
1996-02-05,0.83975,0.8418,0.82041,0.83984,-0.00046,819200.0,0.010717475439125934,,,INFY
1996-02-06,0.83984,0.88379,0.83984,0.85938,-0.000471,1382400.0,2.3266336445037172,,,INFY
1996-02-07,0.85938,0.84375,0.83398,0.83652,-0.000458,972800.0,-2.660057250575998,,,INFY
1996-02-08,0.84961,0.88867,0.84961,0.88867,-0.000487,768000.0,6.234160569980385,,,INFY
1996-02-09,0.88867,0.92773,0.83008,0.92256,-0.000505,1382400.0,3.8135640901572065,,,INFY
1996-02-12,0.92256,0.93555,0.9082,0.91211,-0.0005,819200.0,-1.1327176552202611,,,INFY
1996-02-13,0.9375,0.95703,0.9375,0.95703,-0.000524,2048000.0,4.924844591112931,,,INFY
1996-02-14,0.95703,1.00098,0.95117,0.99316,-0.000544,972800.0,3.775221257431838,,,INFY
1996-02-15,0.99316,1.00586,0.95703,1.00254,-0.000549,2201600.0,0.9444601071327829,,,INFY
1996-02-16,1.00254,1.01563,0.96533,1.00537,-0.000551,2764800.0,0.28228300117703053,,,INFY
1996-02-19,1.00537,0.98633,0.98242,0.98457,-0.000539,1024000.0,-2.0688900603757943,,,INFY
1996-02-20,0.98457,0.98145,0.96875,0.96895,-0.000531,614400.0,-1.586479376783767,,,INFY
1996-02-21,,,,,,,,,,INFY
1996-02-22,0.96895,0.97266,0.96123,0.96143,-0.000527,307200.0,,,,INFY
1996-02-23,0.96143,0.9707,0.96094,0.9707,-0.000532,153600.0,0.9641887604921795,,,INFY
1996-02-26,0.9707,0.97656,0.96631,0.97656,-0.000535,204800.0,0.603688060162777,,,INFY
1996-02-27,0.97656,0.95215,0.92773,0.92773,-0.000508,153600.0,-5.000204800524277,,,INFY
1996-02-28,0.92773,0.92969,0.92969,0.92969,-0.000509,51200.0,0.21126836471818677,,,INFY
1996-02-29,0.92969,0.91797,0.91406,0.91602,-0.000502,460800.0,-1.4703826006518428,,,INFY
1996-03-01,0.91602,0.92773,0.89844,0.92285,-0.000505,512000.0,0.7456169079277819,,,INFY
1996-03-04,0.92773,0.9375,0.92773,0.9375,-0.000513,153600.0,1.5874735872568824,,,INFY
1996-03-05,,,,,,,,,,INFY
1996-03-06,0.95293,0.95293,0.91113,0.91113,-0.000499,204800.0,,,,INFY
1996-03-07,0.91113,0.9375,0.91787,0.9375,-0.000513,307200.0,2.8942082908037348,,,INFY
1996-03-08,0.9375,0.94521,0.92969,0.94521,-0.000518,256000.0,0.8224000000000009,,,INFY
1996-03-11,0.94521,0.9375,0.93174,0.93555,-0.000512,153600.0,-1.0219951121972937,,,INFY
1996-03-12,0.93555,0.9375,0.91797,0.9375,-0.000513,409600.0,0.20843354176687257,,,INFY
1996-03-13,0.9375,0.92813,0.91504,0.91504,-0.000501,870400.0,-2.3957333333333386,,,INFY
1996-03-14,0.91504,0.9375,0.93701,0.9375,-0.000513,307200.0,2.4545375065570862,,,INFY
1996-03-15,0.9375,0.93369,0.93359,0.93359,-0.000511,153600.0,-0.4170666666666656,,,INFY
1996-03-18,0.93359,0.9375,0.93359,0.93496,-0.000512,1228800.0,0.14674535931189503,,,INFY
1996-03-19,0.93496,0.9375,0.92773,0.9375,-0.000513,256000.0,0.2716693762299993,,,INFY
1996-03-20,,,,,,,,,,INFY
