Date,Close,Ticker,Daily_Return_Pct,MA_20,MA_50
2023-11-30,1326.7,TATATECH,,,
2023-12-01,1216.0,TATATECH,-8.344011456998569,,
2023-12-04,1189.0,TATATECH,-2.2203947368421018,,
2023-12-05,1193.75,TATATECH,0.39949537426409165,,
2023-12-06,1187.0,TATATECH,-0.5654450261780131,,
2023-12-07,1184.0,TATATECH,-0.2527379949452402,,
2023-12-08,1190.5,TATATECH,0.5489864864864913,,
2023-12-11,1239.95,TATATECH,4.153716925661488,,
2023-12-12,1233.0,TATATECH,-0.5605064720351716,,
2023-12-13,1250.1,TATATECH,1.3868613138686037,,
2023-12-14,1243.5,TATATECH,-0.5279577633789279,,
2023-12-15,1243.3,TATATECH,-0.01608363490148701,,
2023-12-18,1229.95,TATATECH,-1.0737553285610768,,
2023-12-19,1240.5,TATATECH,0.8577584454652509,,
2023-12-20,1204.0,TATATECH,-2.9423619508262777,,
2023-12-21,1209.0,TATATECH,0.41528239202657247,,
2023-12-22,1208.55,TATATECH,-0.03722084367245859,,
2023-12-26,1204.9,TATATECH,-0.30201481113729667,,
2023-12-27,1199.9,TATATECH,-0.4149721968628062,,
2023-12-28,1179.0,TATATECH,-1.741811817651473,1218.6299999999999,
2023-12-29,1182.0,TATATECH,0.2544529262086481,1211.395,
2024-01-01,1180.0,TATATECH,-0.16920473773265332,1209.5949999999998,
2024-01-02,1183.65,TATATECH,0.30932203389830715,1209.3274999999999,
2024-01-03,1173.75,TATATECH,-0.8363958940565297,1208.3274999999999,
2024-01-04,1171.45,TATATECH,-0.1959531416400373,1207.55,
2024-01-05,1171.2,TATATECH,-0.021341073029157442,1206.91,
2024-01-08,1171.8,TATATECH,0.05122950819671512,1205.975,
2024-01-09,1166.7,TATATECH,-0.4352278545826871,1202.3125,
2024-01-10,1163.0,TATATECH,-0.31713379617726023,1198.8125,
2024-01-11,1161.55,TATATECH,-0.12467755803955427,1194.385,
2024-01-12,1169.3,TATATECH,0.6672119151134304,1190.675,
2024-01-15,1173.0,TATATECH,0.3164286325151755,1187.16,
2024-01-16,1163.0,TATATECH,-0.8525149190110826,1183.8125,
2024-01-17,1158.5,TATATECH,-0.38693035253654084,1179.7125,
2024-01-18,1151.95,TATATECH,-0.5653862753560612,1177.1100000000001,
2024-01-19,1140.7,TATATECH,-0.9766048873649069,1173.6950000000002,
2024-01-20,1150.8,TATATECH,0.8854212325764887,1170.8075000000001,
2024-01-23,1144.0,TATATECH,-0.5908932916232179,1167.7625,
2024-01-24,1142.9,TATATECH,-0.09615384615383471,1164.9125,
2024-01-25,1145.45,TATATECH,0.2231166331262635,1163.2350000000001,
2024-01-29,1139.0,TATATECH,-0.5630974726090199,1161.085,
2024-01-30,1120.0,TATATECH,-1.668129938542584,1158.085,
2024-01-31,1111.45,TATATECH,-0.7633928571428528,1154.475,
2024-02-01,1099.9,TATATECH,-1.0391830491700005,1150.7825,
2024-02-02,1099.7,TATATECH,-0.018183471224664238,1147.1950000000002,
2024-02-05,1082.0,TATATECH,-1.6095298717832218,1142.7350000000001,
2024-02-06,1135.9,TATATECH,4.9815157116451125,1140.94,
2024-02-07,1115.0,TATATECH,-1.839950699885562,1138.355,
2024-02-08,1118.0,TATATECH,0.2690582959641308,1136.105,
2024-02-09,1133.45,TATATECH,1.3819320214669029,1134.7,1175.8339999999998
2024-02-12,1110.25,TATATECH,-2.046848118576028,1131.7475,1171.505
2024-02-13,1104.7,TATATECH,-0.4998874127448705,1128.3325,1169.279
2024-02-14,1108.8,TATATECH,0.37114148637638067,1125.6225,1167.675
2024-02-15,1106.0,TATATECH,-0.2525252525252486,1122.9975,1165.92
2024-02-16,1110.0,TATATECH,0.3616636528029016,1120.9,1164.38
2024-02-19,1123.75,TATATECH,1.2387387387387427,1120.0525,1163.175
2024-02-20,1153.05,TATATECH,2.6073414905450454,1120.165,1162.4260000000002
2024-02-21,1154.3,TATATECH,0.10840813494643609,1120.6799999999998,1160.713
2024-02-22,1155.75,TATATECH,0.12561725721216277,1121.3224999999998,1159.1680000000001
2024-02-23,1158.8,TATATECH,0.26389790179537354,1121.9900000000002,1157.3419999999999
2024-02-26,1099.95,TATATECH,-5.078529513289598,1120.0375,1154.471
2024-02-27,1075.6,TATATECH,-2.213736988044923,1117.8175,1151.117
2024-02-28,1044.95,TATATECH,-2.849572331721817,1114.4925,1147.417
2024-02-29,1084.0,TATATECH,3.737020910091382,1113.6975,1144.287
2024-03-01,1087.5,TATATECH,0.3228782287822973,1113.0875,1141.9569999999999
2024-03-02,1093.5,TATATECH,0.5517241379310311,1113.6625,1139.647
2024-03-04,1075.55,TATATECH,-1.6415180612711522,1110.645,1136.987
2024-03-05,1075.0,TATATECH,-0.05113662777183059,1108.645,1134.3890000000001
2024-03-06,1068.5,TATATECH,-0.6046511627906925,1106.17,1131.761
2024-03-07,1129.55,TATATECH,5.713617220402423,1105.975,1130.772
2024-03-11,1084.45,TATATECH,-3.992740471869316,1104.685,1128.8210000000001
2024-03-12,1067.3,TATATECH,-1.5814468163585338,1102.815,1126.567
2024-03-13,1043.15,TATATECH,-2.262719010587455,1099.5325,1123.757
2024-03-14,1057.0,TATATECH,1.3277093418971209,1097.0825,1121.422
2024-03-15,1050.0,TATATECH,-0.6622516556291425,1094.0825,1118.993
2024-03-18,1047.0,TATATECH,-0.28571428571428914,1090.2450000000001,1116.509
2024-03-19,1042.5,TATATECH,-0.42979942693409656,1084.7175000000002,1113.923
2024-03-20,1032.5,TATATECH,-0.959232613908878,1078.6275,1111.239
2024-03-21,1032.35,TATATECH,-0.014527845036327314,1072.4575,1108.626
2024-03-22,1035.0,TATATECH,0.25669588802248455,1066.2675,1106.095
2024-03-26,1021.85,TATATECH,-1.2705314009661794,1062.3625,1103.146
2024-03-27,1027.9,TATATECH,0.5920634143954606,1059.9775,1100.244
2024-03-28,1021.0,TATATECH,-0.671271524467365,1058.78,1097.404
2024-04-01,1049.8,TATATECH,2.8207639569049814,1057.07,1095.23
2024-04-02,1095.15,TATATECH,4.319870451514585,1057.4524999999999,1094.094
2024-04-03,1133.9,TATATECH,3.538328082911013,1059.4724999999999,1093.958
2024-04-04,1136.6,TATATECH,0.23811623599963028,1062.525,1093.674
2024-04-05,1123.9,TATATECH,-1.1173675875417732,1064.9699999999998,1093.2720000000002
2024-04-08,1104.75,TATATECH,-1.7038882462852678,1066.7824999999998,1092.509
2024-04-09,1104.9,TATATECH,0.013577732518688101,1065.55,1091.698
2024-04-10,1100.0,TATATECH,-0.44347904787764847,1066.3274999999999,1090.9180000000001
2024-04-12,1091.9,TATATECH,-0.7363636363636239,1067.5575000000001,1090.356
2024-04-15,1067.8,TATATECH,-2.2071618280062433,1068.79,1089.483
2024-04-16,1054.55,TATATECH,-1.2408690766061103,1068.6675,1088.576
2024-04-18,1048.8,TATATECH,-0.5452562704471142,1068.6074999999998,1087.558
2024-04-19,1041.4,TATATECH,-0.7055682684973141,1068.3274999999999,1086.746
2024-04-22,1053.9,TATATECH,1.2003072786633373,1068.8974999999998,1085.106
2024-04-23,1081.25,TATATECH,2.595122876933287,1071.3349999999998,1084.431
2024-04-24,1084.95,TATATECH,0.3421965317919051,1073.965,1083.77
2024-04-25,1069.5,TATATECH,-1.4240287570855825,1075.69,1082.491
2024-04-26,1070.5,TATATECH,0.09350163627863672,1078.1225,1081.6960000000001
2024-04-29,1068.0,TATATECH,-0.23353573096683844,1080.1275,1080.962
2024-04-30,1067.0,TATATECH,-0.0936329588014928,1082.4275,1080.126
2024-05-02,1092.0,TATATECH,2.3430178069353325,1084.5375,1079.846
2024-05-03,1085.0,TATATECH,-0.6410256410256387,1084.03,1079.346
2024-05-06,1045.5,TATATECH,-3.6405529953917104,1079.6100000000001,1077.781
2024-05-07,1040.5,TATATECH,-0.4782400765184103,1074.8049999999998,1075.53
2024-05-08,1029.0,TATATECH,-1.1052378664103801,1070.06,1073.024
2024-05-09,1014.0,TATATECH,-1.4577259475218707,1065.5225,1070.1889999999999
2024-05-10,1013.95,TATATECH,-0.004930966469418596,1060.975,1067.2920000000001
2024-05-13,1018.75,TATATECH,0.47339612406922527,1056.9125,1065.6680000000001
2024-05-14,1060.1,TATATECH,4.05889570552147,1055.3224999999998,1065.358
2024-05-15,1056.5,TATATECH,-0.33959060465993396,1054.7575000000002,1065.5890000000002
2024-05-16,1050.5,TATATECH,-0.5679129200189315,1054.5549999999998,1064.919
2024-05-17,1046.0,TATATECH,-0.4283674440742513,1054.4150000000002,1064.0890000000002
2024-05-18,1050.0,TATATECH,0.3824091778202643,1054.845,1063.219
2024-05-21,1056.0,TATATECH,0.5714285714285783,1054.95,1062.828
2024-05-22,1054.5,TATATECH,-0.14204545454545858,1053.6125,1062.4180000000001
2024-05-23,1050.75,TATATECH,-0.35561877667140696,1051.9025000000001,1062.063
2024-05-24,1083.8,TATATECH,3.1453723530811217,1052.6175,1061.1480000000001
2024-05-27,1090.0,TATATECH,0.5720612659162239,1053.5925000000002,1061.259
2024-05-28,1065.95,TATATECH,-2.2064220183486194,1053.4900000000002,1061.2320000000002
2024-05-29,1054.0,TATATECH,-1.121065716027958,1052.8400000000001,1061.449
2024-05-30,1051.8,TATATECH,-0.20872865275142205,1050.8300000000002,1061.345
2024-05-31,1029.0,TATATECH,-2.167712492869367,1048.0300000000002,1060.925
2024-06-03,1038.0,TATATECH,0.8746355685131268,1047.6550000000002,1060.745
2024-06-04,1012.0,TATATECH,-2.5048169556840083,1046.23,1060.135
2024-06-05,1030.2,TATATECH,1.7984189723320165,1046.2900000000002,1060.0890000000002
2024-06-06,1051.0,TATATECH,2.019025431954957,1048.14,1060.4620000000002
2024-06-07,1061.7,TATATECH,1.0180780209324558,1050.5275,1060.996
2024-06-10,1058.85,TATATECH,-0.2684374116982302,1052.5325,1061.7359999999999
2024-06-11,1060.8,TATATECH,0.18416206261511192,1052.5675,1062.394
2024-06-12,1060.6,TATATECH,-0.018853695324283493,1052.7724999999998,1063.186
2024-06-13,1050.85,TATATECH,-0.9192909673769512,1052.79,1063.2069999999999
2024-06-14,1037.0,TATATECH,-1.3179806823047868,1052.3400000000001,1062.0439999999999
2024-06-18,1030.0,TATATECH,-0.6750241080038522,1051.3400000000001,1059.966
2024-06-19,1029.0,TATATECH,-0.0970873786407811,1049.9900000000002,1057.8139999999999
2024-06-20,1011.9,TATATECH,-1.6618075801749344,1047.8600000000001,1055.5739999999998
2024-06-21,994.7,TATATECH,-1.6997727048127187,1045.0575,1053.373
2024-06-24,999.9,TATATECH,0.5227706846285152,1040.8625,1051.273
2024-06-25,1002.0,TATATECH,0.21002100210021357,1036.4625,1049.3129999999999
2024-06-26,1003.55,TATATECH,0.15469061876247636,1033.3425000000002,1047.546
2024-06-27,1015.0,TATATECH,1.1409496288177001,1031.3925,1046.49
2024-06-28,1022.6,TATATECH,0.7487684729064137,1029.9325,1045.8509999999999
2024-07-01,1013.15,TATATECH,-0.9241150009778987,1029.1399999999999,1045.138
2024-07-02,1010.6,TATATECH,-0.25169027291120916,1027.77,1044.522
2024-07-03,1010.0,TATATECH,-0.059370670888581056,1027.6699999999998,1043.644
2024-07-04,1009.25,TATATECH,-0.07425742574257432,1026.6225,1042.204
2024-07-05,1010.0,TATATECH,0.07431260837256204,1024.5724999999998,1040.705
2024-07-08,1004.0,TATATECH,-0.5940594059405946,1021.6875,1039.395
2024-07-09,1013.0,TATATECH,0.8964143426294813,1019.3949999999999,1038.245
2024-07-10,1011.35,TATATECH,-0.16288252714709017,1016.9225,1037.112
2024-07-11,1012.8,TATATECH,0.14337271963216214,1014.5325,1036.028
2024-07-12,1032.0,TATATECH,1.8957345971563955,1013.5899999999999,1034.828
2024-07-15,1023.9,TATATECH,-0.7848837209302295,1012.9349999999998,1033.606
2024-07-16,1015.9,TATATECH,-0.7813263013966232,1012.2299999999999,1033.014
2024-07-18,1009.75,TATATECH,-0.6053745447386571,1011.2674999999999,1032.399
2024-07-19,997.9,TATATECH,-1.173557811339443,1010.5675000000001,1031.777
2024-07-22,993.0,TATATECH,-0.49103116544744196,1010.4825000000001,1031.357
2024-07-23,996.4,TATATECH,0.34239677744209995,1010.3074999999999,1031.0059999999999
2024-07-24,997.0,TATATECH,0.060216780409483306,1010.0574999999999,1030.571
2024-07-25,1000.0,TATATECH,0.30090270812437314,1009.8799999999999,1029.369
2024-07-26,998.65,TATATECH,-0.13500000000000734,1009.0625,1028.212
2024-07-29,999.75,TATATECH,0.11014870074601557,1007.9200000000001,1027.197
2024-07-30,999.5,TATATECH,-0.025006251562886828,1007.2375,1026.267
2024-07-31,999.7,TATATECH,0.020010005002513154,1006.6925000000001,1025.261
2024-08-01,995.2,TATATECH,-0.45013504051215625,1005.9525,1024.045
2024-08-02,992.2,TATATECH,-0.3014469453376245,1005.1,1022.799
